Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
GERMANY,"Customer Experience,Marketing",GER - MKT - Big_Deal,"So-called Big Deals are sales with customers based on temporary, special purchase prices agreed with the suppliers. This process creates an export of the Big Deal price agreements stored in SAP. The exported data serves as raw data for various other applications, e.g., for permanent revising pricing conditions and product ranges and also for the year-end review.",€750.00,24 Hours Per Year,€0.00,document,Live,In Production,Local,05/14/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---mkt---big-deal,Reiner FRITSCH,Reiner FRITSCH
BENELUX,IT,BNL - CX CID - ZM003068 Direct Delivery Follow-Up,"Quick Win request from the local Data Analyst & PO, Customer Experience department.

For a larger project (Soterya/Intersafe integration) they need to build several reports containing delivery data. Part of this data is inaccessible to them, as it is stored in our SAP environment in the Direct Delivery Follow-Up transaction (T-Code ZM003068). We have access to this data, so a request was done to automate a weekly export of direct delivery follow-up data for all Benelux customers.
Since the generation of this data takes quite a long time, we opted to request the data in a background/spool process. This means this data request does not have to run completely on the foreground. Instead of having to wait, a secondary script will automatically fetch the generated report in a different transaction later on.

Two separate UiPath workflows have been created for this process.

The first workflow (BNL CX CID ZM003068 Direct Delivery Export Request) will navigate to SAP transaction ZM003068 and request the report on any of the available VMs, outside of office hours so that no users nor physical machines are hindered during the runtime of the request.

The second workflow (BNL CX CID SM37 DD Export Fetch) will fetch the weekly results in SAP transaction SM37 and export them to an .XLSX file. The processed file will be uploaded to a designated SharePoint location and shared with the process owners.
The script will be triggered on a weekly basis.","€3,750.00",120 Hours Per Year,€0.00,document,Live,In Production,Local,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cx-cid---zm003068-direct-delivery-follow-up,Wouter Herrrygers,Wouter Herrrygers
SWITZERLAND,IT,CH - LOG - D&S - Supi.MiroInvoices,,"€60,000.00",1920 Hours Per Year,€0.00,,Live,In Production,,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/chlogdssupimiroinvoices,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - LOG.Delivery.KUONI.TransferDailyDeliveryData,,"€7,500.00",240 Hours Per Year,€0.00,,Live,In Production,,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/kuoni-dailydeliveries,Bernd Kretzschmar,Bernd Kretzschmar
GERMANY,"Customer Experience,Marketing",GER - LOG - SAP Delivery Notes,This process retrieves the delivery data for the current business day and the three previous business days from SAP using transaction VL06F and saves the data in two Excel files (delivery header data and delivery item data). This data then serves as the basis for providing our customers with the latest tracking information.   ,€750.00,24 Hours Per Year,€0.00,document,Live,In Production,"Local, and maybe Group",05/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---sap-delivery-notes,Reiner FRITSCH,Reiner FRITSCH
SWEDEN,Customer Unique Specialist,SWE - FD - Customer Limits based on UC evaluation,"All new customers are automatically assigned a credit limit of 1,500 SEK in the SAP. If their first order exceeds 1,500 SEK, the customer is added to a blocked list for manual handling. A daily manual job is run to retrieve new customers and update their credit limit based on the UC (credit check) evaluation.","€9,000.00",288 Hours Per Year,€0.00,Full_Meeting_Summary_Credit_Limit_Automation_EN.docx,Assessment,Awaiting Review,Local,05/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---customer-limits-based-on-uc-evaluation,SVÄRD Peter,SVÄRD Peter
BENELUX,IT,BNL - LOG - Daily Extract SPE to Order PBI,"BNL Local process that will be used to periodically extract SPE To Order source data from a Group PowerBI report, to be shared with local colleagues through SharePoint.

Joint request from the local Demand & Supply & Marketing departments.

Both departments use data concerning customer specifics to follow up on which sales colleagues need to be sent a request whether replenishment of said products is currently required/desired or not. The source data for the files that are used locally comes from a Group Power BI report, but is not accessible to everyone that needs this data.
In order to simplify the availability of this data a request was made to create a daily automated export of the Power BI report.

The UiPath workflow will fetch the Power BI data, export it to a local file and format the data as requested. The data gets subsequently uploaded to a SharePoint location accessible to the necessary process owners.

The script will be triggered on a daily basis.","€2,250.00",72 Hours Per Year,€0.00,document,Live,In Production,Local,04/28/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-log-daily-extract-spe-to-order-pbi,Wouter Herrrygers,Wouter Herrrygers
GERMANY,"Customer Experience,Marketing",GER - MKT/P&S - SAP Article list  ,"Creation of an article list ZM011019 (""45""), exported from SAP. ","€1,500.00",48 Hours Per Year,€0.00,document,Live,In Production,Local,04/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---sal---sap-article-list--,Reiner FRITSCH,Reiner FRITSCH
GROUP,GIS Innovation,TH - CS - Order reject in RIO - Management of EDI orders rejection in SAP,"The robot is intended for the Customer Service team
It allows to process certain type of rejection in transaction ZV011116
Rejection type :
Seasonal Product
Deleted Product
Delisted Product
The product is no longer available","€1,500.00",48 Hours Per Year,€0.00,document,Testing,In Progress,Group,04/23/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---cs---order-reject-in-rio---management-of-edi-orders-rejection-in-sap,Bruno Bastin,"Bruno Bastin, Quentin Chastin"
SWEDEN,Customer Unique Specialist,SWE - CS - Customer Initiated Return Improvment,"Potential opportunity to enhance PostNord bot
Part 1: Today, the bot requires all tracking numbers to be manually entered into the RPA app, which likely results in missed returns.
Part 2: Currently, a return is processed per tracking number, but the Returns Department requests a return per order. Is it possible to obtain data/query that can provide this information to the RPA bot?",,,,,Qualification,Awaiting Review,,04/23/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---customer-initiated-return-improvment,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Finance,Further development of an existing RPA solution,"Further development of an existing RPA solution -  DEN-FIN-Incoming invoices (creditors)
Immediate clearing when booking

","€2,250.00",72 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/further-development-of-an-existing-rpa-solution,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,SVR - automatic information for accruals ,Monthly upload with necessary information (creditor number and name) and uploaded to excel file,"€3,000.00",96 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/svr---automatic-information-for-accruals-,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,CFAC clearing of open items - booking,Automatic posting of amounts below a fixed amount,€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cfacbogfring,Eva NEUHAUSEN,Eva NEUHAUSEN
WISE,WYZE,WISE - Data - Back Order Report Extract,"Extract reports for 0018 and 0025 under ZV011216
Then save to a shared drive in Q:\ Drive.
Data Team currently have a script that runs each morning to import into Qube to run the API.
Customer Care sometimes dont have time to do the reports for Back Orders for 0018 and 0025

This is for extended range and with this automation of the reports it will cut the cost of the delivery down per order as they have to do less work when Qube will fire the orders via an API instead of each one being done manually.

With using the new system it will cut the cost per order and in total could be around 50k a year savings.

This might be changed in the future to instead of saving into Q Drive but to inject it via postgresQL.","€50,250.00",1608 Hours Per Year,€0.00,document,Live,In Production,Local,04/14/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---data---back-order-report-extract,John Davies,John Davies
SWEDEN,Customer Unique Specialist,SWE - SA - ZW55 mass run from SAP to NetShop (One-shot) ,"a{text-decoration:none;color:#464feb}
Here is the translation:
Background:Transaction ZW55 in SAP is used to transfer updates from customer cards and chain structures in SAP to NetShop. Since February 12, 2025, this transfer occurs automatically every 30 minutes, based on change pointers on the customer card. The information is sent as an IDoc and automatically read into NetShop via a cus-file. (Exact time when Admin clears its log is unknown)
Before the automatic run was introduced, transaction ZW55 had to be run manually to send changes. This means that there are historical changes today that have not yet been transferred to NetShop.
Purpose:We now need to manually trigger the transfer of our entire customer register – including customer numbers and invoice recipients – to ensure that NetShop has the latest information.
Challenge:It is not possible to trigger the entire register in one run because NetShop has a limitation on how many customer numbers can be handled per read-in. Historically, we have not run more than 1,000 customer numbers at a time to avoid the cus-file becoming too large and difficult to read into Admin.
Number to be mass-run:Customer numbers: approx. 240k Invoice recipients: approx. 100k
Planned working method (robot):
Start from a total file in Excel with customer numbers in one column.
Divide the list into blocks of approximately 1,000 customer numbers at a time.
Enter SAP transaction ZW55, input the customer numbers, and save.
After about 15 minutes, go into Admin and manually read in the generated cus-file.
Repeat the process every 15–30 minutes until the entire register is updated.
Is there anything else you need help with?",€0.00,0 Hours Per Year,"€2,000.00",document,Qualification,Awaiting Review,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---zw55-mass-run-from-sap-to-netshop--one-shot--,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Automatic Email to Supplier Regarding Delayed Dropshipping Item Lead Time,"For open dropshipment orders where the supplier's lead time, which we also display to the customer on NetShop, has passed and the order is still open, we create an automated email that asks for the status of the order. The responses that come back are handled by a human.
The bot also leaves a comment in SAP and the field that comes with open orders to facilitate further handling.
This will save time in OPS as it takes quite a few clicks to send these emails, allowing us to focus our time on actions or informing the customer.
This will ensure that we close orders and invoice, or keep the customer updated on the status, which improves the customer experience.",€0.00,0 Hours Per Year,€0.00,document,Qualification,Approved,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---automatic-email-to-supplier-regarding-delayed-dropshipping-item-lead-time,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
WISE,WYZE,WISE - IS - EUP to 1 Password,"This is an automation to save End User Passwords in to 1 Password.

This is done via a MS Form
Email to IWISE
IWISE will then trigger 1 Password automation to save the password into 1Password.

Reasons:
Not having passwords saved into an excel form in MS Forms/Power Automate
Not having the password emailed to MIS users
Permanently deleting the email in IWISE after the automation has got the information needed
Complies with ISO27001, Keeping the end user password secured in 1Password

IWISE account for 1 Password is also locked down to only read only for one locked down vault of Employee Temp Password. IWISE account not got access to copy or see the password or access to WISE.IS Vault for precaution.
Only MIS users can see the password in the 1 Password app.",€0.00,0 Hours Per Year,€0.00,document,Live,In Production,Local,04/07/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---is---eup-to-1-password,John Davies,John Davies
BENELUX,IT,BNL - CS - Contract Data Split,"Project Stage: Live
Project (T-shirt) size: Quick win
Involved departments: Customer Care
Process owner(s): Local CC team lead
Other stakeholders (if applicable): N/A
Technology used: UiPath
Maintenance: None

Request from the local Team Leader Customer Service / Sales support.

Various datasets needed to be transformed & split on a customer level basis in order to be compatible with the requirements of a platform into which these files need to be uploaded. (Local contract management tool)
Due to the size of the datasets, doing this manually would have taken the operational colleagues too much time while already trying to comply with a short deadline, so an urgent request for a development was made.

The UiPath workflow will iterate through the relevant data sources, split them in separate .CSV files per unique customer code & upload them to a designated SharePoint folder. The output will be shared w/ the process owner.

This workflow has been developed with re-usability in mind, so a similar request in the future can likely be tackled without additional development, as long as the input structure remains identical. Usage frequency is not fixed but will vary based on the needs of the local CS/Sales Support team.","€6,000.00",192 Hours Per Year,€0.00,document,Live,In Production,Local,04/01/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-cs-contract-data-split,Wouter Herrrygers,Wouter Herrrygers
CASH,IS,CASH - HR - New Employee Data Transformation for Payroll,"-!!!- This project was cancelled because of roadblock, that prevented stable runs of the robot -!!!-
This automation extracts data from excel report (exported from Workday questionnaire) and inputs it into different Excel report, which is stored on Sharepoint. ",€187.50,6 Hours Per Year,€0.00,document,Development,Cancelled,Local,03/27/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---hr---new-employee-data-transformation-for-payroll,Eduard SEKERES,Eduard SEKERES
GERMANY,"Customer Experience,Marketing",GER - LOG - Warehouse KPI 2 ,"GER - LOG - Warehouse KPI 2 is an addition  to process GER - LOG - Warehouse KPI.  


To manage logistics processes at the German warehouse in Bantorf, logistics managers rely on various key performance indicators.
This RPA process determines the desired key performance indicators from a total of 3 different Excel files, maintained by logistics employees,  based on the previous workday. 
The collected data is added to already created result data sentences (created by GER- LOG - Warehouse KPI) stored in one table in the LYRECO_DE database environment. 
They serve as raw data for a performance dashboard specially developed for logistics managers, which displays this data for each workday at the click of a button.

The complete process, containing of  GER - LOG- Warehouse KPI  and addition GER - LOG - Warehouse KPI 2,   is described in the process description, attached in this card. 
","€1,125.00",36 Hours Per Year,€0.00,Description of RPA process Warehouse KPI.docx,Live,In Production,Local,03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---warehouse-kpi-2-,Reiner FRITSCH,Reiner FRITSCH
GERMANY,"Customer Experience,Marketing",GER - LOG - Warehouse KPI,"To manage logistics processes at the German warehouse in Bantorf, logistics managers rely on various key performance indicators. This RPA process determines the desired key performance indicators from a total of 11 different SAP transactions based on the previous workday. The collected data is stored in four different tables in the LYRECO_DE database environment. They serve as raw data for a performance dashboard specially developed for logistics managers, which displays this data for each workday at the click of a button.

The complete process, containing of  GER - LOG- Warehouse KPI  and addition GER - LOG - Warehouse KPI 2,   is described in the process description, attached in this card.","€1,125.00",36 Hours Per Year,€0.00,Description of RPA process Warehouse KPI.docx,Live,In Production,"Local, and maybe Group",03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---warehouse-kpi,Reiner FRITSCH,Reiner FRITSCH
DENMARK,Sales,DEN-SAL-Verification of caller list,Idea has been pitched to our local RPA team and they know about the workload. ,€750.00,24 Hours Per Year,€0.00,Gensys,Assessment,Not Started,"Local, and maybe Group",03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-verification-of-caller-list,Nadia BLUME,"Nadia BLUME, Emil Thrane DAGELYKKE, Lars Christensen"
GERMANY,"Customer Experience,Sales",GER - SAL - Requesting SD-Statistics,"This process aims to automate the retrieval of SD statistics in SAP. These can either be recurring requests that are processed monthly or daily requests that can be initiated via a developed web interface.

PS: The Documentation is written in german, if you need more iformation don't hesitate to contact us.","€15,000.00",480 Hours Per Year,€0.00,Prozessdokumentation_SD-Statistiken abrufen.docx,Assessment,In Progress,Group,03/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/requesting-sd-statistics,Abdelaziz TEKAYA,Abdelaziz TEKAYA
DENMARK,MARKETING,DEN-SAL-DCT Pricing,"Hi,
We would like to add a price module for DCT . This is the project definition:
Data in eCat Tool – Commision Cost & Bottom price
RPA process – Daily task
Daily extractions from ZM011031 (MM-0045 file)
     The file should contain following columns:
Item number
Commision cost (Not visible in DCT)
Bottom Price (Not visible in DCT)
      Format: .xlsx
eCat Tool – URL: http://aalecllappprd01.lyreco.com:8080
User       credentials:
 dk.ibot@lyreco.com
      Lyreco_4000!
Local data
system-settings/local-data/storage/
Upload LocalData file to server
Import file
DIGITAL_CATALOG_TOOL:       ecatalogs/6576b9467307b05cf50609aa/
Regenerate",€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",03/24/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-dct-pricing,Lars Christensen,"Lars Christensen, Nadja CHRISTENSEN, Jimmi PETERSEN"
DENMARK,MARKETING,DEN-LOG-Change currier in Denmark,"Hi RPA,
Can you please implement RPA for changing currier in Denmark.","€45,000.00",1440 Hours Per Year,€0.00,fluxDHL 1 -en.docx,Testing,In Progress,"Local, and maybe Group",03/07/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-log-change-currier-in-denmark,Lars Christensen,"Lars Christensen, Linda Molnit SCHYTH, Emil Thrane DAGELYKKE, Kim Jagd FREDERIKSEN"
SWITZERLAND,"Customer Service,Sales",CH - MKT - WebshopBanner,,,,,document,Idea,Awaiting Review,"Local, and maybe Group",03/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch-mkt-webshopbanner,Francesco SONETTO,Francesco SONETTO
SWITZERLAND,IT,CH - CS - KUNO - Kundenorder (Customer Order Processing),,"€15,000.00",480 Hours Per Year,€0.00,document,Live,In Production,"Local, and maybe Group",02/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---kuno---kundenorder--customer-order-processing-,Bernd Kretzschmar,Bernd Kretzschmar
